id	pub_home_div	pub_draw_div	pub_away_div
15087	2.19	3.50	2.45
15095	1.94	3.45	2.90
15103	3.75	3.60	1.65
15111	2.18	3.35	2.55
15116	1.65	3.65	3.70
15121	2.08	3.35	2.70
15126	2.20	3.40	2.50
15131	1.95	3.35	2.95
15136	2.35	3.35	2.35
15141	2.09	3.50	2.60
15146	2.02	3.30	2.85
15151	3.20	3.40	1.84
15156	1.81	3.40	3.30
15161	4.10	3.55	1.60
15166	2.31	3.25	2.45
15171	3.00	3.50	1.89
15176	2.00	3.35	2.85
15184	2.28	3.30	2.45
15189	1.95	3.35	2.95
15194	2.35	3.35	2.35
15199	2.09	3.50	2.60
15204	1.96	3.40	2.90
15209	3.20	3.40	1.84
15214	1.81	3.40	3.30
15219	4.10	3.55	1.60
15224	2.31	3.25	2.45
15229	3.00	3.50	1.89
15234	2.06	3.40	2.70
15242	2.14	3.45	2.55
15247	3.50	2.65	2.06
15252	2.53	2.65	2.65
15257	3.30	2.65	2.13
15262	2.90	2.75	2.27
15267	2.06	2.85	3.20
15272	2.42	2.55	2.90
15277	2.03	3.35	2.80
15282	2.35	3.40	2.33
15287	1.80	3.45	3.30
15292	3.45	3.55	1.73
15297	2.15	3.25	2.65
15302	1.94	3.45	2.90
15307	2.65	3.25	2.15
15312	2.12	3.40	2.60
15317	2.01	3.40	2.80
15322	2.26	3.35	2.45
15327	2.28	3.40	2.40
15332	2.27	3.15	2.55
15337	2.50	3.35	2.22
15342	2.08	3.35	2.70
15350	2.65	3.45	2.07
15355	3.05	2.80	2.15
15360	2.22	2.65	3.10
15365	2.54	2.75	2.55
15370	2.54	2.70	2.60
15375	2.34	2.90	2.65
15380	1.84	3.60	3.05
15385	1.99	3.45	2.80
15390	2.55	3.20	2.25
15395	2.26	3.25	2.50
15400	2.80	3.20	2.08
15405	2.29	3.20	2.50
15410	1.51	3.90	4.35
15415	1.83	3.55	3.10
15420	1.92	3.45	2.95
15425	2.40	3.30	2.33
15430	2.45	3.35	2.26
15438	1.83	3.55	3.10
15443	1.92	3.45	2.95
15448	2.40	3.30	2.33
15453	2.45	3.35	2.26
15461	2.10	2.85	3.10
15466	1.93	2.90	3.50
15471	2.10	2.60	3.45
15476	1.69	3.35	3.85
15481	3.55	2.80	1.96
15486	2.60	2.80	2.45
15491	2.17	3.30	2.60
15496	1.66	3.60	3.70
15501	2.28	3.40	2.40
15506	2.05	3.35	2.75
15511	1.90	3.45	3.00
15516	1.55	3.85	4.10
15521	2.06	3.40	2.70
15526	2.70	3.30	2.10
15531	3.45	3.45	1.76
15536	2.17	3.30	2.60
15541	1.99	3.45	2.80
15546	2.26	3.35	2.45
15551	3.35	3.50	1.77
15556	2.40	3.25	2.35
15561	3.10	3.40	1.88
15569	2.31	2.65	2.95
15574	1.90	3.00	3.45
15579	2.15	2.85	3.00
15584	2.41	2.65	2.80
15589	3.25	2.75	2.09
15594	3.05	2.70	2.22
15599	2.85	3.20	2.06
15604	2.07	3.30	2.75
15609	1.73	3.65	3.35
15614	2.02	3.45	2.75
15619	2.14	3.35	2.60
15624	2.95	3.30	1.97
15629	2.07	3.30	2.75
15634	3.30	3.45	1.80
15639	2.21	3.20	2.60
15644	2.03	3.40	2.75
15649	2.60	3.25	2.19
15654	2.38	3.20	2.40
15659	2.80	3.20	2.08
15664	3.55	3.45	1.73
15669	2.45	3.15	2.36
15677	2.19	2.70	3.10
15682	1.93	3.05	3.30
15687	3.60	2.90	1.90
15692	2.70	2.75	2.41
15697	2.08	2.85	3.15
15702	2.00	2.85	3.35
15707	2.60	3.35	2.14
15712	2.28	3.30	2.45
15717	1.76	3.50	3.40
15722	2.07	3.30	2.75
15727	1.69	3.70	3.50
15732	2.03	3.35	2.80
15737	1.60	3.70	3.95
15742	3.40	3.50	1.76
15747	2.50	3.30	2.24
15752	1.94	3.45	2.90
15757	2.20	3.30	2.55
15762	2.65	3.20	2.18
15767	2.22	3.25	2.55
15772	3.00	3.35	1.93
15777	2.28	3.30	2.45
15785	2.28	3.30	2.45
15793	3.55	3.70	1.67
15798	2.03	3.35	2.80
15803	2.60	3.30	2.17
15808	2.50	3.30	2.24
15813	2.75	3.30	2.07
15818	2.55	3.15	2.27
15823	3.25	3.45	1.81
15828	1.83	3.50	3.15
15833	3.50	3.35	1.77
15838	1.48	4.10	4.35
15846	3.25	2.45	2.31
15851	2.60	2.65	2.58
15856	2.58	2.65	2.60
15861	1.64	3.10	4.60
15866	2.54	2.75	2.55
15871	2.09	3.40	2.65
15879	2.35	3.35	2.35
15887	2.40	3.25	2.35
15895	2.80	3.40	2.01
15903	3.20	3.25	1.89
15911	2.70	3.15	2.17
15916	2.33	3.30	2.40
15921	3.50	3.45	1.74
15926	2.26	3.25	2.50
15931	2.14	3.20	2.70
15936	2.24	3.30	2.50
15941	2.40	3.35	2.30
15946	2.04	3.30	2.80
